is_luxury,price,square_footage,num_bathrooms,num_bedrooms,backyard_space,crime_rate,school_rating,age_of_home,distance_to_city_center,employment_rate,property_tax_rate,renovation_quality,local_amenities,transport_access,fireplace,house_color,garage,floors,windows,previous_sale_price
No,156150.7303,616.76,2.580644628,3,502.97,66.94,7.13,102.01,53.84,89.05,3.34,3.99,8.19,7.16,No,Blue,Yes,2,43,91349.73174
No,277537.2027,1057.01,1.199181358,3,207.59,0.92,8.06,30.22,8.29,98.27,1.35,4.45,7.41,5.03,No,Red,No,1,21,201866.3574
No,104435.5011,590.41,1.573737165,1,340.12,9.41,8.86,45.72,14.72,98.86,2.26,5.51,3.33,5.61,No,Blue,Yes,1,16,27338.52335
No,208805.3098,1496.1,1,2,759.92,4.99,6.26,104.36,11.38,99,1.01,5.92,10,9.62,No,White,No,1,3,223705.2143
No,140764.7725,550,1,2,250.61,62.52,4.75,33.42,22.33,92.67,0.98,3.78,8.44,5.12,Yes,Red,Yes,1,19,59904.1404
No,235371.6686,834.61,1.788886498,3,320.57,24.61,6.21,85.34,30.41,86.85,1.52,2.1,4.73,7.58,Yes,Blue,No,1,29,251914.1432
No,243166.5359,709.19,3.504748093,2,73.71,37.96,4.45,42.64,26.61,93.76,1.58,3.27,4.64,6.1,No,Green,No,1,11,230804.5516
No,266981.4133,550,2.403054434,3,143.45,18.98,5.07,80.88,28.25,90.66,1.96,3.47,4.97,3.5,No,White,No,2,10,137220.1701
No,170256.9448,852.26,1.712161555,3,668.19,15.78,6.96,49.33,33.99,99.9,0.98,5.34,10,7.94,Yes,Blue,No,1,11,201881.6755
No,268895.1762,1793.47,1,2,373.72,28.07,6.73,54.74,11.32,93.52,1.19,6.5,4.85,6.74,No,Green,No,1,8,284328.7391
No,142609.1818,550,1,4,914.8,46.21,5.99,22.75,49.52,96.71,0.5,4.14,9.59,5.87,No,Blue,No,1,29,63264.34589
No,114263.3668,550,1.325389182,3,756.47,28.51,4.76,53.61,16.83,91.88,2.58,2.04,2.89,6.2,No,Blue,No,1,12,37237.00617
No,153917.287,1099.39,2.091523985,2,473.78,30.55,5.49,77.29,33.23,88.82,0.62,6.21,10,7.03,No,White,No,1,16,44376.00143
No,134713.424,1573.4,1.27438748,1,316.47,30.65,1.31,132.14,55.33,93.88,2.53,0.9,3.09,2.64,No,White,No,1,12,73370.38941
No,196851.6501,1076.3,1.702342147,3,458.96,55.02,5.62,120.99,5.26,97.17,2.46,3.76,6.74,5.01,No,Yellow,No,1,11,100737.4855
No,267725.9216,1140.4,3.19354156,2,880.79,39.11,5.44,98.33,6.69,89.08,2.08,6.99,5.48,3.36,Yes,Red,No,1,11,216470.9756
No,113695.3777,852.57,1.525850635,2,97.21,33.37,4.15,34.81,50.35,97.07,2.16,1.37,8.76,6.55,No,White,Yes,1,15,16624.65884
No,167927.7775,1063.8,2.645661652,2,72.32,38.73,3.47,104.61,31.66,94.79,0.98,0.52,6.79,6.97,No,Blue,Yes,1,19,173011.4145
No,252206.3363,996.4,1.940155168,2,462.37,34.75,4.75,121.06,36.63,83.16,1.49,2.25,5.84,7.73,No,White,No,1,17,132725.175
No,195297.2596,550,2.037002606,3,72.65,13.81,6.26,66.74,20.62,92.98,1.29,1.48,6.69,7.14,No,White,Yes,1,17,298610.929
No,265171.2807,1197.67,1.376647524,4,392.26,33.34,7.26,8.31,20.22,99.56,1.14,6.51,7.02,4.75,No,White,Yes,2,32,234380.9466
No,248472.5921,902.42,1,5,59.04,28.28,9.12,15.21,23.94,95.48,1.98,10,8.15,6.4,No,Blue,No,1,13,299097.4464
No,175759.5376,694.38,1.531508895,2,691.32,4.9,6.16,70.92,30.89,93.07,1.65,5.8,9.07,5.88,Yes,Yellow,Yes,1,11,124366.9774
No,238860.0183,1545.84,1.213010243,2,118.04,49.36,3.05,70.08,32.22,97.09,2.66,3.78,7.99,7.21,No,Red,No,1,10,152616.2263
No,238343.9376,577.36,1.996181565,4,771.92,39.47,9.35,34.74,54.38,93.1,1.66,3.54,10,7.94,No,Blue,No,1,19,398244.4603
No,207625.2917,880.52,1.562833803,3,372.65,26.16,6.97,81.39,54.58,95.33,1.46,4,8.04,6.14,No,Red,No,1,21,110670.988
No,260961.0197,982.34,1.441501156,2,94.79,17.67,7.33,16.18,9.03,96.13,1.84,4.01,6.3,6.09,No,Red,No,2,47,179230.0974
No,216118.7539,782.67,1.30604173,4,510.22,33.65,6.26,41.73,20.43,94.48,1.59,6.13,7.34,7.84,Yes,White,No,1,14,150720.0561
No,236938.4329,586.15,2.860058801,2,286.79,29.18,6.44,82.53,26.67,95.49,1.87,6.47,6.41,7.29,No,White,No,2,13,138297.108
No,168709.8999,917.46,1,3,89.01,18.46,7.21,19.77,1.73,81.92,2.17,4.4,7.28,9.78,No,White,No,1,17,127139.3953
No,148261.471,1064.61,1.114697748,3,401.68,7.05,9.78,0.67,9.93,97.96,1.65,3.81,4.12,6.19,No,Green,Yes,1,15,124805.2449
No,261413.5934,1348.57,2.024444445,2,623.4,34.17,9.57,23.68,11.21,97.94,2.13,4.94,10,10,No,Yellow,Yes,1,11,154578.4452
No,92650.1848,587.65,1,3,802.66,5.36,6.41,18.02,4.61,93.54,1.19,4.22,5.29,5.18,No,Green,Yes,1,10,-2310.361085
No,164736.9291,550.36,3.930831836,1,459.03,33.28,5.77,0.73,20.08,91.7,2.17,7.93,8.94,9.11,Yes,Yellow,Yes,1,13,130780.0944
No,170417.2644,812.41,1,3,357.7,21.58,7.19,35.37,8.66,90.22,0.98,3.32,10,7.72,No,Yellow,No,1,14,110146.9704
No,175103.9545,961.04,1,4,627.06,26.32,9.22,71.28,15.07,96.88,2.26,5.81,7.74,4.81,Yes,Green,Yes,1,18,197876.7237
No,162023.5571,550,1.317584151,2,436.97,26.02,5.82,88.33,12.8,98.78,1.46,4.67,4.8,2.78,Yes,Yellow,No,2,32,61670.3211
No,118141.2757,629.32,1.399565336,1,451.87,79.91,6.74,93.85,7.73,98.67,1.62,4.96,2.8,1.77,No,Green,Yes,1,15,33134.89879
No,199372.794,1295.39,1.004230912,2,1022.91,64.48,4.99,131.98,40.61,99.9,1.67,1.93,1.56,2.17,No,White,Yes,1,17,84230.77463
No,151369.7369,727.95,1.82281539,3,358.09,14.56,7.2,60.61,47.94,92.23,1.68,4.77,2.36,3.08,No,Blue,Yes,2,38,92018.26896
No,150555.0477,550,4.886619316,1,687.31,43.21,8.82,86.19,5.51,97.71,1.64,5.95,5.31,7.06,Yes,Green,Yes,2,27,63162.48133
No,108831.3591,1229.67,1,2,165.76,57.5,6.39,83.46,16.44,88.68,2.16,4.08,3.65,3.67,No,Yellow,No,1,14,31154.69136
No,186967.2311,572.31,3.74659242,2,467.86,3.74,7.24,109.38,13.07,94.04,1.05,4.49,8.54,7.78,Yes,Blue,No,1,18,217958.1962
No,258216.0685,788.01,1.041511079,3,82.89,31.81,5.52,6.21,7.54,96,2.1,2.15,7.96,6.34,Yes,Red,No,2,27,213574.6915
No,262980.2794,720.92,3.057766052,2,713.3,47.08,6.35,110.21,17.24,88.9,1.41,5.09,9.56,7.61,Yes,Yellow,Yes,1,-2,165097.9751
No,134853.855,550,2.162412657,2,836.67,66.24,7.82,51.63,35.17,95.3,1.74,6.99,4.53,9.04,Yes,Yellow,Yes,1,20,56759.48327
No,259902.1156,1709.34,1,2,510.27,13.88,6.25,42.16,3.79,98.33,2.14,7.35,5.55,6.14,No,Green,No,1,12,175509.4053
No,239730.0695,1403.92,1.974140894,3,689.47,17.79,8.97,11.29,3.18,94.38,1.58,7.42,9.96,8.31,Yes,Green,No,1,19,271038.2618
No,113282.0931,1522.56,1,1,39.91,42.98,3.67,105.14,36.59,97.3,2.25,1.77,2.78,3.66,No,Green,Yes,1,11,41028.31104
No,232506.3177,550,1.324173676,2,520,1.79,4.78,45.32,30.68,99.9,0.76,2.51,4.67,6.65,No,Blue,No,1,5,108720.8841
No,150907.6334,810.68,1.390094984,2,620.52,7.27,4.2,11.71,20.82,86.66,1.11,1.31,6.47,6.73,Yes,White,Yes,1,23,137306.9868
No,106447.0001,728.28,1,2,502.84,61.14,6.87,36.32,24.5,83.88,1.62,1.93,6.69,6.46,No,Blue,Yes,1,20,12965.57583
No,124414.6586,778.67,1.67131196,2,339.21,33.54,7.1,21.13,56.98,86.4,1.87,5.4,7.7,6.22,No,Blue,No,1,-1,26968.26689
No,131632.7524,1138.83,1.748237357,1,790.1,27.72,5.5,35.17,8.28,93.1,1.99,3.11,9.37,6.67,No,Green,Yes,2,31,67840.76281
No,116389.6093,797.1,1.660443865,2,1071.69,52.6,4.11,43.98,25.43,87.32,2.09,0.15,8.91,8.2,No,Red,Yes,1,20,13998.59974
No,247501.9945,618.65,1.148517582,3,524.09,77.3,5.9,91.55,13.44,83.97,1.82,0.81,7.64,6.22,No,Blue,Yes,1,21,197873.421
No,226058.3649,1202.03,2.180178619,1,484.91,30.4,5.15,65.54,10.34,86.59,2,2.26,3.03,5.27,No,White,Yes,1,16,184737.0137
No,205986.8246,550,1.70818028,3,425.85,30.44,7.12,36.69,7.08,97.07,1.13,6.27,5.35,8.24,No,White,No,1,8,344686.9109
No,134019.7898,1013.83,1,3,847.51,47.17,6.65,49.53,19.95,91.6,2.38,3.24,4.75,4.85,Yes,Red,No,1,12,34080.24698
No,254110.0525,747.48,2.951104886,3,398.93,20.39,9.14,15.5,12.4,88.15,1.61,3.92,5.83,7.99,No,White,No,1,-2,339479.1861
No,101705.4364,669.92,2.695185411,2,393.47,73.91,6.47,117.9,18.77,95.31,1.87,4.44,2.28,6.35,No,Red,No,1,25,29484.88889
No,165314.1196,550,2.612280156,4,705.59,24.42,6.3,46.64,14.38,98.59,1.06,2.23,3.65,4.64,No,Yellow,Yes,1,4,113128.3905
No,107844.5295,1279.88,1,2,363.78,21.61,6.34,28.12,8.13,88.68,1.41,2.22,8.44,6.05,No,Red,Yes,1,14,7340.234288
No,244045.5199,738.18,1.136439482,3,515.33,59.06,5.23,77.13,1.68,92.55,1.49,6.59,5.72,6.12,No,White,Yes,1,14,173964.3149
No,136578.7197,988.14,1,2,377.72,32.52,6.95,41.47,27.49,92.82,2.01,3.84,7.71,4.45,No,Blue,Yes,1,10,73567.76736
No,134058.0544,550,2.892894233,2,902.64,18.54,4.88,79.95,10.27,91.38,0.97,3.95,6.08,5.46,No,Blue,Yes,1,21,96629.1285
No,153653.6431,550,1,3,163.98,48.13,5.63,81.83,25.94,85.44,2.31,5.12,0.68,4.28,No,Blue,No,1,11,113681.0813
No,126350.2557,550,1.418814967,2,540.45,21.68,3.98,66.46,42.24,89.74,2.59,1.71,6.2,4.22,No,Blue,Yes,1,8,65723.11262
No,255223.1838,843.63,1.278253556,3,573.22,9.81,6.61,58,2.81,92.53,1.49,4.78,6.1,5.99,No,Yellow,No,1,3,258802.0617
No,254413.1466,874.22,1,3,611.22,37.43,6.88,39.05,19.61,84.23,1.5,3.15,6.66,8.2,No,Red,Yes,1,12,223539.1365
No,253375.0876,869.01,1,4,352.77,28.99,6.48,25.24,19.03,93.67,1.35,5.86,7.57,5.24,No,White,No,1,10,208131.7245
No,162292.7792,833.03,1.608451202,2,687.81,14.16,8.21,59.25,7.22,86.84,1.38,3.77,8.77,8.63,Yes,Green,Yes,2,38,151147.1985
No,204147.5704,843.66,2.597150959,3,421.13,26.26,8.5,77.15,37.4,93.71,1.81,3.88,9.64,5.23,Yes,White,No,1,16,246118.698
No,125451.6749,550,2.203973098,1,220.06,25.25,3.36,49.54,28.11,99.9,1.95,3.35,10,8.05,No,Blue,Yes,1,18,33880.29396
No,190679.4116,1572.67,2.568497877,1,176.02,3.27,5.76,123.41,35.23,95.63,0.8,5.15,3.81,5.06,Yes,Blue,No,2,32,201056.8308
No,158795.2187,550,1.152021018,4,699.72,44.59,6.1,122.46,23.47,86.34,1.38,3.01,6.74,6.9,No,Yellow,No,1,8,83057.33173
No,148852.0295,1011.74,1,3,959.36,35.26,7.06,29.87,22.32,85.3,2.01,7.69,8.28,6.44,Yes,Red,No,1,14,65944.69823
No,217285.9195,550,2.604696107,3,1018.34,52.34,2.74,107.13,20.01,86.13,2.34,3.96,3.38,4.15,No,White,Yes,1,21,158870.8989
No,238886.441,817.26,4.442556228,2,942.17,17.58,5.87,114.97,33.9,86.02,1.89,3.23,7.35,4.61,No,White,No,1,13,239202.7346
No,270705.4256,550,1,2,449.25,22.78,4.8,7.31,17.24,88.99,1.57,2.92,5.67,8.65,No,Green,Yes,1,20,216504.7266
No,265124.8389,1193.27,1.204244252,3,514.51,29.36,6.79,38.72,15.62,92.71,1.38,1.51,7.48,6.09,No,Green,Yes,2,29,177754.2012
No,238569.6214,965.44,2.950068167,2,602.92,43.53,3.99,70.65,43.15,90.07,1.49,1.89,3.35,8.13,Yes,Blue,No,1,12,200237.5284
No,220797.4023,1541.15,3.570193413,1,289.74,11.97,4.48,24.29,22.73,88.49,1.37,4.85,2.15,2.33,No,White,Yes,2,21,265568.057
No,257617.8489,896.2,1.438048055,2,944.12,49.62,4.59,96.11,8.45,99.9,1.34,4.46,2.59,7.68,No,White,No,1,22,142914.8129
No,269009.5188,768.34,2.231898071,3,437.5,15.44,8.57,58.24,24.53,95.89,2,6.79,8.78,7.04,No,Yellow,No,1,11,424877.3385
No,152437.4363,979.69,1,2,674.18,6.07,7.8,31.97,17.08,86.31,1.18,4.47,6.64,4.68,No,Blue,Yes,1,7,63896.3882
No,179240.4585,550,1.647712895,3,174.9,43.05,4.86,11.91,27.68,98.91,1.55,8.09,3.54,3.22,Yes,White,No,1,10,130518.9479
No,250712.5108,608.27,1.289890254,4,316.64,6.57,7.29,40.38,29.22,89.88,2.23,3.94,10,6.78,No,Red,No,2,25,268917.7683
No,196674.5108,550,2.314482496,5,265.41,9.55,7.81,43.41,18.75,95.7,1.82,1.84,8.2,6.59,No,Red,No,1,7,190625.1329
No,143641.9416,721.86,1,2,935.64,19.29,8.58,47.27,15.18,91.86,2.27,7.8,0.9,3.73,No,White,No,1,15,67332.58184
No,255381.687,1254.08,1,3,552.58,16.5,7.25,54.59,29.88,89.44,1.38,5.49,2.81,7.79,No,White,Yes,1,3,270535.3332
No,276102.4432,550,2.408600247,3,367.33,39.13,4.44,130.9,19.25,93.81,1.33,3.6,4.62,7.84,No,Yellow,Yes,1,18,119814.667
No,256469.5086,1116.97,2.223156508,3,327.03,23.06,8.65,74.35,19.53,99.9,1.4,6.45,9.9,5.38,No,Green,No,1,25,521084.6089
No,197999.7267,1044.25,2.221232386,2,910.52,29.77,7.54,83.63,27.18,89.89,1.63,2.35,8.75,7.23,No,Green,Yes,1,14,85755.95573
No,111298.1421,550,1.278622873,2,59.73,4.79,8.11,24.42,23,97.36,1.2,1.83,6.9,7.02,No,Blue,No,1,16,18746.27728
No,213524.6477,1208.86,1.319678246,2,661.44,23.08,6.78,19.06,7.21,96.65,1.95,4.8,5.16,4.2,No,Yellow,Yes,1,15,156471.3979
No,196806.3385,634.46,1.925591819,4,794.6,6.34,4.37,104.53,2.06,84.09,2.27,1.68,8.95,8.42,No,Green,Yes,1,4,129665.4617
No,150632.6472,785.91,2.056231906,2,1477.52,25.7,8.57,76.89,19.69,99.9,1.45,4.52,3.2,4.23,No,Red,Yes,1,20,97286.41303
No,98718.31518,550,2.362338101,3,779.69,13.96,4.5,92.09,28.87,91.77,1.16,3.72,3.5,7.7,Yes,Red,Yes,1,14,25922.37115
No,255620.1138,1017.24,1.406256962,3,640.04,22.42,9.76,105.65,11.28,99.9,0.61,4.1,4.55,7.7,Yes,Red,No,1,13,241836.3837
No,161135.2004,550,1.750199905,3,510.17,42.66,4.71,20.18,23.83,88.36,1.82,5.09,6.63,3.52,No,Green,Yes,1,13,65068.29802
No,206442.1435,1495.88,1,2,764.44,25.55,5.19,83,14.76,84.57,1.81,3.56,8.13,4.24,No,Red,Yes,1,4,146062.3017
No,174603.251,852.22,1.528620106,3,368.43,39.06,8.09,90.55,26.21,86.53,1.5,5.01,5,3.61,No,Green,No,1,16,133754.897
No,169398.5841,550,2.639536292,4,105.28,41.35,8.14,54.3,25.43,89.63,1.29,3.93,6.09,2.43,Yes,Green,No,1,11,159240.0233
No,95433.65204,550,1,4,615.37,53.65,7.51,57.29,47.7,92.17,1.23,6.48,10,6.64,No,Blue,Yes,1,10,12373.07325
No,267189.6762,1676.08,2.08397049,2,800.64,15.08,10,1.45,0.51,94.56,0.99,6.77,5.63,5.69,No,Yellow,No,1,14,401257.6895
No,226528.3599,697.21,1,4,551.48,35.19,5.16,46.19,6.19,99.9,1.62,5.64,4.27,4.65,No,Red,Yes,1,9,297672.5866
No,200630.6172,598.13,2.667348602,3,642.53,24.14,7.38,107.84,17.94,93.13,1.01,5.34,6.78,2.79,No,Blue,No,1,11,332117.2763
No,227842.6556,671.09,1.78416945,3,1075.03,44.77,6.32,46.21,19.07,98.68,1.88,3.39,2.24,7.09,No,Red,No,1,16,144111.4723
No,249751.8563,1236,3.647472898,3,384.98,23.15,10,24.69,52.88,97.74,1.4,7.31,7.66,6.42,No,White,No,1,12,309275.2442
No,135155.6964,628.62,1.28916747,2,149.27,39.59,8.4,43.09,12.47,87,2.03,1.62,6.32,5.66,No,Blue,No,1,21,29182.23155
No,205578.4196,550,1.682336391,4,508.69,6.92,7.23,11.45,6.85,94.06,2.11,2.23,10,7.9,Yes,Green,Yes,1,6,158057.8145
No,192489.5084,1237.2,1,2,264.01,58.78,7.31,25.63,2.32,90.04,1.66,3.61,6.36,4.95,No,Red,Yes,1,15,102879.8262
No,229461.1495,1335.09,1.03253401,2,804.37,46.42,7.37,137.43,44.11,99.9,1.43,6.56,6.98,5.16,No,Blue,No,1,10,141898.9849
No,265278.7319,1320.1,2.289294646,3,581.23,25.26,6.06,34.15,1.81,99.54,0.63,6.34,5.52,5.51,No,Red,Yes,1,26,510839.314
No,191567.1324,550,1.403092428,4,200.61,22.44,2.93,105.69,5.32,86.92,1.23,1.94,1.25,5.8,No,White,No,1,2,149820.1191
No,192507.0224,1450.32,2.131903007,2,819.47,19.79,4.84,22.77,4.16,97.1,1.5,3.09,7.41,6.61,No,Green,No,1,16,107051.602
No,152646.3897,550,1.94182078,2,422.08,16.03,3.72,16.56,17.68,89.23,1.26,2.33,6.63,5.78,No,Blue,No,1,10,69593.30291
No,115439.3901,550,2.462773049,2,450.64,37.57,9.15,50.07,4.96,94.08,2.13,4.68,10,10,No,Green,No,1,20,27285.47326
No,132566.4047,550,1,3,729.37,30.49,4.18,4.8,5.86,88.01,1.8,4.14,4.38,7.92,No,Red,No,1,16,57419.47588
No,185540.2315,754.61,1.52018851,2,170.87,8.62,7.83,6.81,7.3,90.18,0.79,5.12,8.08,8.77,No,Red,Yes,1,18,169050.7278
No,250923.2967,991.63,2.146279342,3,449.5,66.92,10,53.67,11.62,85.1,0.53,4.98,7.31,8.21,No,White,No,2,27,287698.1432
No,221468.3481,1501.64,2.3343757,3,357.38,3.03,6.25,26.09,3.62,86.19,2.53,4.61,4.07,5.72,No,Red,Yes,1,9,163324.8926
No,277466.3269,550,4.790215918,3,396.19,20.95,8.53,69.22,26.01,92.63,2.13,1.86,7.9,5.74,No,Green,No,1,21,241457.5164
No,195540.0416,1950.12,1,1,779.68,53.97,8.92,25.09,11.14,92.74,1.42,6.19,4.38,3.54,No,Red,No,2,40,169342.6829
No,237801.2117,914.6,2.423921384,4,547.89,39.49,6.65,73.19,19.66,92.79,1.13,4.35,8.03,7.56,Yes,White,Yes,2,20,294980.0567
No,193712.9455,1103.23,2.392219123,2,158.94,32.79,5.69,46.14,14.39,94.99,1.71,4.88,10,6.89,No,Yellow,No,1,22,188981.5763
No,112953.986,1122.06,1.196783186,2,145.52,56,4.05,65.31,34.52,97.85,1.77,3.38,6.72,8.68,Yes,Blue,Yes,1,20,8905.622496
No,250327.6615,931.61,1.915791126,3,571.55,62.45,8.26,18.16,41.47,93.75,1.41,4.85,5.56,4.98,No,Yellow,No,2,18,331313.0259
No,234034.0348,1251.87,2.773043133,2,1153.38,27.86,7.96,139.4,7.11,93.9,1.29,5.8,5.38,4.77,No,Red,No,1,9,265740.0434
No,180759.8499,550,1,4,317.27,3.71,9.72,7.01,5.06,95.18,0.99,4.72,9.75,6.34,No,Green,Yes,1,16,152379.8568
No,158142.7112,550,2.279051647,2,33.57,36.28,4.75,85.2,15.28,89.68,1.07,3.34,5.02,3.34,Yes,Blue,Yes,2,33,75275.05151
No,246250.2837,823.34,1.129488991,4,746.56,27.36,6.05,79.91,24.34,91.54,0.81,3.02,4.93,5.88,Yes,Green,No,1,19,291841.2798
No,133859.3801,559.1,1.275637106,1,529.5,30.82,5.2,57.1,6.33,87.14,1.87,0.57,0.51,4.12,No,Green,Yes,1,18,74086.26266
No,135635.1167,896.7,1.925285852,3,751.63,64.82,6.13,56.09,12.83,95.33,1.37,1.63,1.82,4.27,No,Green,No,2,39,64620.1328
No,264529.5677,1384.13,2.667191793,4,423.58,50.77,8.34,47.63,31.13,93.26,1.32,5.53,5.33,4.22,No,Red,No,1,23,359752.795
No,220321.5049,760.77,3.255048964,3,179.59,8.09,4.99,32.81,4.34,86.84,1.82,5.17,3.61,6.7,Yes,Yellow,No,1,29,256783.6554
No,185506.6524,1074.52,1.434396635,3,76.99,76.47,6.5,1.46,43.07,93.5,1.14,2.04,0.59,3.78,Yes,Yellow,No,1,16,215872.9861
No,217815.5226,1068.13,3.381325573,2,588.7,33.42,7.71,5.59,27.87,90.14,1.11,8.09,5.76,7.34,No,Blue,No,1,14,196652.0796
No,223576.1619,1040.39,1.565887976,3,363.11,10.43,8.06,12.24,1.5,86.69,0.6,4.94,4.23,5.61,Yes,Yellow,No,1,12,249929.0909
No,139547.3221,583.83,2.36478018,2,362.21,43.23,4.92,118.03,20.59,96.37,1.18,2.13,8.74,5.02,Yes,White,Yes,2,20,105959.055
No,217365.301,665.95,2.250132936,4,1631.36,37.02,6.91,84.36,17.48,97.88,1.38,4.33,10,8.69,Yes,Blue,No,1,31,267431.2009
No,136601.3608,647.33,1.899080978,1,540.53,41.62,6.93,109.19,11.28,99.9,1.27,3.73,6.93,7.81,Yes,Blue,Yes,1,23,35560.89313
No,139012.3328,676.08,2.961567051,1,712.62,16.66,4.07,82.09,14.82,99.9,1.58,3.51,7.34,7.01,No,Green,No,1,21,76286.35004
No,155541.194,550,2.343682057,4,75.84,18.01,7.72,86.92,10.32,96.12,2.4,3.31,9,5.29,Yes,Red,No,1,22,68689.18281
No,186897.8253,1065.62,1,4,420.97,23.96,5.1,43.04,7.86,98.35,2.55,5.09,1.35,5.91,No,White,No,1,14,181351.7241
No,134130.7502,550,1.340437138,3,91.06,63.37,7.98,3.47,22.49,96.91,1.4,7.26,8.43,8.24,No,White,No,1,8,102212.6934
No,180489.4816,732.98,1.516484049,3,646.2,24.02,2.62,67.49,32.34,91.8,1.16,0.52,6.99,5.6,No,Green,Yes,1,20,255766.0327
No,176180.2675,550,2.927694465,2,239.61,35.65,5.19,4.34,21.98,98.85,1.17,6.03,6.88,6.35,No,Green,No,1,17,149673.2093
No,272607.5873,1226.32,1.155728763,5,837.38,64.08,8.47,15.01,17.53,87.97,1.47,4.36,6.67,6.83,Yes,White,No,2,38,890777.4574
No,236852.6988,1611.13,1.5512826,3,289.96,33.11,4.36,40.11,14.03,86.54,0.72,4.23,5.19,5.59,Yes,Yellow,Yes,1,18,135249.1294
No,110427.8589,838.47,1,2,219.28,55.18,5,58.02,17.35,90.83,1.65,2.1,8.66,7.61,Yes,Red,Yes,1,3,29913.51861
No,216437.7761,1010.25,3.331127148,3,587.34,0.27,8.51,23.44,15.24,86.92,1.87,3.83,8.2,6.56,No,White,Yes,1,17,243405.329
No,225913.5844,825.1,4.220691599,2,1158.99,64.25,6.68,36.68,24.23,96.93,0.9,6.82,2.49,4.92,Yes,Blue,No,2,38,421392.4962
No,112294.6508,550,1.591872956,3,470.25,48.26,5.31,82.59,14.52,91.3,1.3,3.31,7.03,3,Yes,Yellow,No,1,15,33087.15146
No,182212.9644,550,1.614249279,3,21.78,53.89,5.09,36.83,26.37,86.5,1.11,4.34,1.85,0.59,Yes,Green,No,1,11,92027.62242
No,177882.2157,550,1.364844596,5,236.62,20.36,8.9,62.2,13.45,92.61,2.19,5.61,3.98,3.62,No,Red,Yes,2,27,159752.1044
No,216799.6083,907.53,1.706457192,3,748.6,3.35,6.16,25.9,14.94,97.19,1.31,2.72,8.73,7.1,No,White,No,1,32,189771.7778
No,273450.5838,1464.65,2.000382093,4,243.16,31.63,8.02,43.22,8.04,90.85,1.84,4.39,7.62,8.15,No,Yellow,No,1,12,479917.4985
No,180330.4983,712.06,2.10723266,3,216.75,49.75,4.38,20.37,15.73,96.83,1.77,2.18,5.32,5.11,No,White,No,2,36,94392.3468
No,135470.4414,550,1.484717198,3,172.4,18.49,8.48,38.54,9.04,96.97,1.14,2.64,9.06,4.57,No,Blue,No,1,20,27963.28451
No,178033.013,1500.21,1.384003857,4,743.08,78.98,1.94,23.18,6.1,83.82,0.79,2.14,7.25,4.61,No,White,Yes,1,19,214373.7405
No,191719.6633,550,1.445836044,3,655.46,52.51,3.55,18.21,42.24,96.62,1.87,3.69,5.77,5.34,No,Yellow,No,1,9,209999.7907
No,268163.8259,718.38,1.60688204,3,675.71,3.78,8.99,58.3,9.15,97.98,2.48,3.81,4.03,0.59,No,White,No,1,18,183357.6697
No,163298.013,611.78,3.14205824,2,779.85,9.41,5.23,39.83,13.24,95.3,1.13,3.39,6.31,5.78,No,Green,Yes,1,7,169478.8411
No,262908.9842,550,2.453349618,4,614.11,27.62,8.7,88.31,25.87,91.95,1.45,7.92,6.05,5.74,Yes,Green,Yes,2,38,314738.3821
No,106645.3587,934.57,3.44628553,1,346.34,79.29,7.52,45.2,2.14,84.45,2.36,4.1,1.63,3.37,Yes,White,Yes,2,35,24101.41437
No,215180.9302,1096.85,1.544556005,3,486.18,52,3.4,113.55,13.98,88.63,1.2,2.14,7.49,8.24,No,Green,No,1,7,199218.9188
No,271883.4021,550,1,4,116.43,9.97,5.82,34.9,7.69,96.68,1.7,4.96,7.03,5.23,Yes,Blue,No,1,6,162823.5977
No,208326.869,1277.39,1,3,350.4,66.94,8.88,26.85,4.53,99.9,1.25,4.78,8.13,10,No,White,Yes,1,18,256113.5839
No,169402.8034,550,1.548950996,2,424.07,43.05,3.52,16.06,26.29,91.82,2.42,1.57,8.09,7.78,No,Blue,Yes,1,12,67696.063939999993
No,184023.9313,1005.49,2.313534372,2,330.77,36.35,10,13.63,16.66,96.17,2.01,4.65,8.38,5.53,Yes,Red,Yes,1,17,166379.8208
No,110864.4095,682.33,2.560177514,2,135.8,15.61,8.32,2.79,9.66,96.32,1.81,5.17,1.98,8.74,No,Blue,No,1,24,20936.86423
No,269408.846,1447.99,3.063606776,3,601.19,3.76,8.97,60.23,14.15,95.59,1.5,4.09,8.36,8.92,No,Green,No,1,11,285060.0242
No,181623.4481,1104.41,2.183057191,3,848.77,25.92,6.99,86.15,15.15,91.28,1.64,5.03,0.33,2.55,No,Yellow,No,1,19,180548.0584
No,258512.2302,652.12,2.512237431,3,558.57,13.08,6.99,21.08,16.96,92.63,1.17,3.78,7.51,6.53,No,Green,No,1,3,212152.7609
No,113545.7587,550,1.452379447,3,272.87,10.16,4.52,138.66,40.12,91.94,1.12,3.49,3.54,7.48,Yes,White,Yes,2,7,26415.70062
No,176492.6957,550,1,2,172.25,25.83,6.14,18.11,10.22,95.01,2.11,5.07,0.32,2.11,No,Yellow,No,1,8,112638.8583
No,120852.2785,550,1.221072548,3,778.8,0.45,5.58,49.95,28.63,99.9,0.88,2.27,8.11,6.47,No,Red,Yes,2,21,54207.95244
