ID,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
3319,254110.0525,747.48,2.951104886,3,398.93,20.39,9.14,15.5,12.4,88.15,1.61,3.92,5.83,7.99,No,White,No,1,-2,339479.1861,0
6742,101705.4364,669.92,2.695185411,2,393.47,73.91,6.47,117.9,18.77,95.31,1.87,4.44,2.28,6.35,No,Red,No,1,25,29484.88889,0
716,94995.80949,550,1.103740204,3,727.66,31.2,3.84,5.52,18.41,89.01,1.54,2.79,6.24,7.3,No,Yellow,No,2,25,18600.98567,1
5586,95078.5366,550,2.424903324,3,297.04,20.47,8.59,60.46,9.02,91.46,1.16,3.77,5.33,4.75,No,White,Yes,1,22,7285.421018,1
675,165314.1196,550,2.612280156,4,705.59,24.42,6.3,46.64,14.38,98.59,1.06,2.23,3.65,4.64,No,Yellow,Yes,1,4,113128.3905,0
837,253414.7142,870.74,1,3,250.99,13.34,6.79,72.34,8.46,94.97,0.97,4.01,10,8.49,No,Blue,Yes,1,17,200903.0392,1
5513,107844.5295,1279.88,1,2,363.78,21.61,6.34,28.12,8.13,88.68,1.41,2.22,8.44,6.05,No,Red,Yes,1,14,7340.234288,0
3930,244045.5199,738.18,1.136439482,3,515.33,59.06,5.23,77.13,1.68,92.55,1.49,6.59,5.72,6.12,No,White,Yes,1,14,173964.3149,0
2973,136578.7197,988.14,1,2,377.72,32.52,6.95,41.47,27.49,92.82,2.01,3.84,7.71,4.45,No,Blue,Yes,1,10,73567.76736,0
2559,242606.8395,1010.1,2.311204891,4,236.34,40.86,6.06,21.82,25.7,89.56,1.53,5.79,9.13,8.13,Yes,Green,Yes,2,26,396962.9631,0
5754,246561.5892,992.99,1,3,1006.05,20.24,8.33,8.22,3.97,99.9,1.81,4.19,7.1,7.04,No,Blue,No,1,15,150048.874,1
1766,134058.0544,550,2.892894233,2,902.64,18.54,4.88,79.95,10.27,91.38,0.97,3.95,6.08,5.46,No,Blue,Yes,1,21,96629.1285,0
93,200794.2658,1195.55,1,3,445.23,29.9,5.17,76.24,27.14,94.45,1.58,3.19,10,9.44,No,Yellow,Yes,1,10,224252.2063,0
48,153653.6431,550,1,3,163.98,48.13,5.63,81.83,25.94,85.44,2.31,5.12,0.68,4.28,No,Blue,No,1,11,113681.0813,0
2807,126350.2557,550,1.418814967,2,540.45,21.68,3.98,66.46,42.24,89.74,2.59,1.71,6.2,4.22,No,Blue,Yes,1,8,65723.11262,0
2137,255223.1838,843.63,1.278253556,3,573.22,9.81,6.61,58,2.81,92.53,1.49,4.78,6.1,5.99,No,Yellow,No,1,3,258802.0617,0
2292,254413.1466,874.22,1,3,611.22,37.43,6.88,39.05,19.61,84.23,1.5,3.15,6.66,8.2,No,Red,Yes,1,12,223539.1365,0
1695,253375.0876,869.01,1,4,352.77,28.99,6.48,25.24,19.03,93.67,1.35,5.86,7.57,5.24,No,White,No,1,10,208131.7245,0
5626,210467.5593,1208.45,1,3,672.11,16.9,5.65,47.78,1.55,94.06,1.07,5.79,7.3,6.54,Yes,Yellow,No,1,14,360147.4865,1
6344,205145.6821,759,2.729982972,3,175.26,17.94,3.38,94.97,25.87,97.11,1.72,1.2,6.86,7.9,No,Blue,Yes,1,8,137572.1093,0
6775,132679.1883,630.95,1,2,22.96,27.82,4.85,60.78,17.84,89.91,1.16,4.89,5.65,7.73,No,Green,Yes,1,14,39061.33948,0
4733,162292.7792,833.03,1.608451202,2,687.81,14.16,8.21,59.25,7.22,86.84,1.38,3.77,8.77,8.63,Yes,Green,Yes,2,38,151147.1985,0
3403,97427.25678,550,1,3,802.22,34.69,4.36,12.35,11.81,97.82,1.35,3.47,5.76,4.38,No,Blue,No,1,16,2288.046804,0
2393,204147.5704,843.66,2.597150959,3,421.13,26.26,8.5,77.15,37.4,93.71,1.81,3.88,9.64,5.23,Yes,White,No,1,16,246118.698,0
6682,216374.8129,1037.41,1,3,76.03,64.7,6.22,21.47,0.8,85.54,1.92,5.27,7.35,6.84,No,Red,No,2,48,177525.0386,1
3515,125451.6749,550,2.203973098,1,220.06,25.25,3.36,49.54,28.11,99.9,1.95,3.35,10,8.05,No,Blue,Yes,1,18,33880.29396,0
4435,190679.4116,1572.67,2.568497877,1,176.02,3.27,5.76,123.41,35.23,95.63,0.8,5.15,3.81,5.06,Yes,Blue,No,2,32,201056.8308,0
2516,158795.2187,550,1.152021018,4,699.72,44.59,6.1,122.46,23.47,86.34,1.38,3.01,6.74,6.9,No,Yellow,No,1,8,83057.33173,0
3150,161533.5785,754.31,1,4,778.7,43.88,4.17,24.07,34.64,91.21,1.43,5.03,6.18,6.05,No,Yellow,Yes,1,13,140473.8686,0
1887,148852.0295,1011.74,1,3,959.36,35.26,7.06,29.87,22.32,85.3,2.01,7.69,8.28,6.44,Yes,Red,No,1,14,65944.69823,0
4640,217285.9195,550,2.604696107,3,1018.34,52.34,2.74,107.13,20.01,86.13,2.34,3.96,3.38,4.15,No,White,Yes,1,21,158870.8989,0
722,238886.441,817.26,4.442556228,2,942.17,17.58,5.87,114.97,33.9,86.02,1.89,3.23,7.35,4.61,No,White,No,1,13,239202.7346,0
2252,137212.5389,550,3.451538043,1,524.74,22.17,6.8,38.63,45.43,98.23,1.91,3.87,10,8.27,No,Blue,No,1,19,55155.82164,1
5122,153736.6301,550,2.002786637,3,635.25,42.7,4.41,13.14,7.63,96.49,1.57,2.05,4.64,4.53,Yes,Blue,No,1,19,113845.2027,0
463,268522.6089,913.27,1.998209846,4,41.47,37.97,4.19,81.2,10.7,98.1,1.48,4.97,6.04,6.3,Yes,Yellow,Yes,1,15,379674.6453,0
1947,202463.8609,1001.67,2.252086593,2,631.95,32.39,7.37,70.1,18.77,83.71,2.35,5.91,9.42,6.99,No,Green,Yes,1,13,164504.2397,1
482,270705.4256,550,1,2,449.25,22.78,4.8,7.31,17.24,88.99,1.57,2.92,5.67,8.65,No,Green,Yes,1,20,216504.7266,0
66,265124.8389,1193.27,1.204244252,3,514.51,29.36,6.79,38.72,15.62,92.71,1.38,1.51,7.48,6.09,No,Green,Yes,2,29,177754.2012,0
6295,238569.6214,965.44,2.950068167,2,602.92,43.53,3.99,70.65,43.15,90.07,1.49,1.89,3.35,8.13,Yes,Blue,No,1,12,200237.5284,0
4480,145622.0632,558.05,1.055004562,3,723.46,4.77,3.76,38.62,17.18,93.07,1.3,0.94,2.62,3.12,No,Green,No,1,9,65793.8771,1
1923,220797.4023,1541.15,3.570193413,1,289.74,11.97,4.48,24.29,22.73,88.49,1.37,4.85,2.15,2.33,No,White,Yes,2,21,265568.057,0
1549,129552.4041,1039.42,1.384040652,2,886.9,45.63,5.29,87.4,17.57,87.52,1.25,4.84,4.38,6.19,No,Red,Yes,1,21,85991.71291,0
1974,248833.4473,550,1.415954189,3,396.2,39.23,4.08,90.28,24.25,92.89,1.68,2.2,5.45,6.4,Yes,Blue,No,1,16,120272.4573,1
3636,148899.3633,677.16,1,2,375.04,43.17,5.72,34.83,19.23,91.78,1.02,4.93,6.89,7.7,No,White,No,1,11,53509.4121,1
1783,206992.6136,1400.29,3.652630768,2,414.63,15.64,5.88,99.72,39.42,91.61,1.85,6.58,3.06,5.48,No,Red,No,1,15,335346.8255,0
2901,257617.8489,896.2,1.438048055,2,944.12,49.62,4.59,96.11,8.45,99.9,1.34,4.46,2.59,7.68,No,White,No,1,22,142914.8129,0
5952,269009.5188,768.34,2.231898071,3,437.5,15.44,8.57,58.24,24.53,95.89,2,6.79,8.78,7.04,No,Yellow,No,1,11,424877.3385,0
4174,161850.87,550,3.238557123,2,431.24,20.6,4.93,44.4,16.91,91.98,1.29,4.48,4.76,7.01,No,Green,No,1,13,100117.1169,1
6137,146371.1001,763.07,1.75429735,2,577.98,29.17,4.84,74.73,10.38,91,1.63,3.82,6.92,8.51,No,Yellow,Yes,1,15,66989.99955,0
5048,152437.4363,979.69,1,2,674.18,6.07,7.8,31.97,17.08,86.31,1.18,4.47,6.64,4.68,No,Blue,Yes,1,7,63896.3882,0
3681,179240.4585,550,1.647712895,3,174.9,43.05,4.86,11.91,27.68,98.91,1.55,8.09,3.54,3.22,Yes,White,No,1,10,130518.9479,0
5325,250712.5108,608.27,1.289890254,4,316.64,6.57,7.29,40.38,29.22,89.88,2.23,3.94,10,6.78,No,Red,No,2,25,268917.7683,0
360,209554.4884,550,1.53055204,3,121.95,45.67,6.81,7.5,14.48,91.19,2.16,3.13,8.74,6.38,No,White,No,1,10,117750.0781,0
1906,196674.5108,550,2.314482496,5,265.41,9.55,7.81,43.41,18.75,95.7,1.82,1.84,8.2,6.59,No,Red,No,1,7,190625.1329,0
3115,143641.9416,721.86,1,2,935.64,19.29,8.58,47.27,15.18,91.86,2.27,7.8,0.9,3.73,No,White,No,1,15,67332.58184,0
4500,255381.687,1254.08,1,3,552.58,16.5,7.25,54.59,29.88,89.44,1.38,5.49,2.81,7.79,No,White,Yes,1,3,270535.3332,0
1463,276102.4432,550,2.408600247,3,367.33,39.13,4.44,130.9,19.25,93.81,1.33,3.6,4.62,7.84,No,Yellow,Yes,1,18,119814.667,0
2542,222127.8787,1014.24,2.310331779,3,812.13,24.35,8.05,137.59,29.73,99.9,1.33,3.22,4.42,3.4,No,Yellow,No,1,22,219589.7655,0
1668,256469.5086,1116.97,2.223156508,3,327.03,23.06,8.65,74.35,19.53,99.9,1.4,6.45,9.9,5.38,No,Green,No,1,25,521084.6089,0
361,120464.7704,550,1.210942347,2,42.64,18.48,8.49,30.24,33.36,99.9,1.92,5.97,5.27,4.04,No,Red,No,1,16,39320.77936,0
5753,197999.7267,1044.25,2.221232386,2,910.52,29.77,7.54,83.63,27.18,89.89,1.63,2.35,8.75,7.23,No,Green,Yes,1,14,85755.95573,0
6847,111298.1421,550,1.278622873,2,59.73,4.79,8.11,24.42,23,97.36,1.2,1.83,6.9,7.02,No,Blue,No,1,16,18746.27728,0
5810,213524.6477,1208.86,1.319678246,2,661.44,23.08,6.78,19.06,7.21,96.65,1.95,4.8,5.16,4.2,No,Yellow,Yes,1,15,156471.3979,0
4312,160522.178,550,2.015669222,3,755.12,24.7,6.33,70.46,13.89,95.6,2.05,3.79,3.73,4.14,No,White,Yes,1,19,158469.0299,1
5409,196806.3385,634.46,1.925591819,4,794.6,6.34,4.37,104.53,2.06,84.09,2.27,1.68,8.95,8.42,No,Green,Yes,1,4,129665.4617,0
3743,150632.6472,785.91,2.056231906,2,1477.52,25.7,8.57,76.89,19.69,99.9,1.45,4.52,3.2,4.23,No,Red,Yes,1,20,97286.41303,0
5029,98718.31518,550,2.362338101,3,779.69,13.96,4.5,92.09,28.87,91.77,1.16,3.72,3.5,7.7,Yes,Red,Yes,1,14,25922.37115,0
5737,255620.1138,1017.24,1.406256962,3,640.04,22.42,9.76,105.65,11.28,99.9,0.61,4.1,4.55,7.7,Yes,Red,No,1,13,241836.3837,0
5512,161135.2004,550,1.750199905,3,510.17,42.66,4.71,20.18,23.83,88.36,1.82,5.09,6.63,3.52,No,Green,Yes,1,13,65068.29802,0
6928,206442.1435,1495.88,1,2,764.44,25.55,5.19,83,14.76,84.57,1.81,3.56,8.13,4.24,No,Red,Yes,1,4,146062.3017,0
6557,174603.251,852.22,1.528620106,3,368.43,39.06,8.09,90.55,26.21,86.53,1.5,5.01,5,3.61,No,Green,No,1,16,133754.897,0
4515,169398.5841,550,2.639536292,4,105.28,41.35,8.14,54.3,25.43,89.63,1.29,3.93,6.09,2.43,Yes,Green,No,1,11,159240.0233,0
4218,227283.5277,898.34,2.393838363,3,795.01,10.89,4.9,3.35,8.39,98.47,2.39,4.6,7.56,7.2,No,Blue,No,1,16,313960.5807,1
4497,95433.65204,550,1,4,615.37,53.65,7.51,57.29,47.7,92.17,1.23,6.48,10,6.64,No,Blue,Yes,1,10,12373.07325,0
2927,136278.2019,1127.11,1.225976058,2,409.98,22.18,6.04,19.86,48.02,93.33,2.13,2.72,7.09,6.11,Yes,Red,No,1,11,63592.82006,1
5236,278944.2198,920.05,2.575224593,3,981.58,0.13,8.95,61.09,8.48,89.78,1.63,4.97,0.14,4.5,No,Yellow,Yes,1,16,247944.7338,0
680,267189.6762,1676.08,2.08397049,2,800.64,15.08,10,1.45,0.51,94.56,0.99,6.77,5.63,5.69,No,Yellow,No,1,14,401257.6895,0
6052,226528.3599,697.21,1,4,551.48,35.19,5.16,46.19,6.19,99.9,1.62,5.64,4.27,4.65,No,Red,Yes,1,9,297672.5866,0
5099,248492.4663,908.64,2.45694088,4,756.56,46.34,9.12,23.39,43.38,91.77,1.74,7.74,6.47,5.9,No,Green,No,1,28,483206.7095,0
4088,200630.6172,598.13,2.667348602,3,642.53,24.14,7.38,107.84,17.94,93.13,1.01,5.34,6.78,2.79,No,Blue,No,1,11,332117.2763,0
2103,111989.9103,1496.01,2.357424178,1,931.13,35.22,5.52,40.2,24.73,88.68,1.42,2.59,5.43,5.57,No,Blue,No,1,9,31312.2379,0
190,227842.6556,671.09,1.78416945,3,1075.03,44.77,6.32,46.21,19.07,98.68,1.88,3.39,2.24,7.09,No,Red,No,1,16,144111.4723,0
3277,224554.9565,678.8,2.11380747,3,246.18,32.37,8.11,1.25,12.96,97.36,1.19,5.77,6.14,5.68,No,Blue,Yes,2,36,192140.3112,0
4098,249751.8563,1236,3.647472898,3,384.98,23.15,10,24.69,52.88,97.74,1.4,7.31,7.66,6.42,No,White,No,1,12,309275.2442,0
2914,135155.6964,628.62,1.28916747,2,149.27,39.59,8.4,43.09,12.47,87,2.03,1.62,6.32,5.66,No,Blue,No,1,21,29182.23155,0
2819,205578.4196,550,1.682336391,4,508.69,6.92,7.23,11.45,6.85,94.06,2.11,2.23,10,7.9,Yes,Green,Yes,1,6,158057.8145,0
1708,169656.4261,1070.43,1,1,506.56,31.68,5.87,56.47,27.96,92.62,2.35,5.2,6.24,6.36,No,Red,No,1,16,53892.2552,0
3209,192489.5084,1237.2,1,2,264.01,58.78,7.31,25.63,2.32,90.04,1.66,3.61,6.36,4.95,No,Red,Yes,1,15,102879.8262,0
3124,229461.1495,1335.09,1.03253401,2,804.37,46.42,7.37,137.43,44.11,99.9,1.43,6.56,6.98,5.16,No,Blue,No,1,10,141898.9849,0
3757,265278.7319,1320.1,2.289294646,3,581.23,25.26,6.06,34.15,1.81,99.54,0.63,6.34,5.52,5.51,No,Red,Yes,1,26,510839.314,0
2567,102298.3893,550,1.415396689,1,655.02,40.78,5.09,4.37,6.6,92.35,1.75,4.09,6.61,6.72,No,Blue,No,1,24,-6004.653461,0
4053,191567.1324,550,1.403092428,4,200.61,22.44,2.93,105.69,5.32,86.92,1.23,1.94,1.25,5.8,No,White,No,1,2,149820.1191,0
3217,177085.4663,1435.99,3.153695038,1,1155.44,19.03,6.81,66.16,2.86,96.8,2.2,6.14,4.8,5.39,No,Blue,No,1,22,130806.9602,1
6853,192507.0224,1450.32,2.131903007,2,819.47,19.79,4.84,22.77,4.16,97.1,1.5,3.09,7.41,6.61,No,Green,No,1,16,107051.602,0
6258,254400.6244,765.65,1.254242396,3,670.46,12.9,5.77,1.71,13.31,99.81,1.58,3.93,4.96,4.82,No,Blue,Yes,1,6,132643.9373,0
5866,152646.3897,550,1.94182078,2,422.08,16.03,3.72,16.56,17.68,89.23,1.26,2.33,6.63,5.78,No,Blue,No,1,10,69593.30291,0
5520,115439.3901,550,2.462773049,2,450.64,37.57,9.15,50.07,4.96,94.08,2.13,4.68,10,10,No,Green,No,1,20,27285.47326,0
5014,166197.9713,903.25,2.324114887,3,5.69,22.78,6.81,63.11,5.03,91.1,2.19,4.22,9.98,8.35,No,White,Yes,1,8,138548.4722,0
2004,132566.4047,550,1,3,729.37,30.49,4.18,4.8,5.86,88.01,1.8,4.14,4.38,7.92,No,Red,No,1,16,57419.47588,0
5343,185540.2315,754.61,1.52018851,2,170.87,8.62,7.83,6.81,7.3,90.18,0.79,5.12,8.08,8.77,No,Red,Yes,1,18,169050.7278,0
3645,250923.2967,991.63,2.146279342,3,449.5,66.92,10,53.67,11.62,85.1,0.53,4.98,7.31,8.21,No,White,No,2,27,287698.1432,0
3978,221468.3481,1501.64,2.3343757,3,357.38,3.03,6.25,26.09,3.62,86.19,2.53,4.61,4.07,5.72,No,Red,Yes,1,9,163324.8926,0
4443,262216.334,1198.31,1.702911179,2,747.07,41.41,7.84,96.25,29.13,92.78,1.89,5.8,3.43,6.96,No,Yellow,No,1,13,315974.4906,1
5967,277466.3269,550,4.790215918,3,396.19,20.95,8.53,69.22,26.01,92.63,2.13,1.86,7.9,5.74,No,Green,No,1,21,241457.5164,0
2528,195540.0416,1950.12,1,1,779.68,53.97,8.92,25.09,11.14,92.74,1.42,6.19,4.38,3.54,No,Red,No,2,40,169342.6829,0
1761,237801.2117,914.6,2.423921384,4,547.89,39.49,6.65,73.19,19.66,92.79,1.13,4.35,8.03,7.56,Yes,White,Yes,2,20,294980.0567,0
4629,233957.5616,856.95,1.949941737,3,382.5,25.33,9.07,26.41,29.51,93.75,2.6,8.27,8.22,6.96,No,Yellow,No,1,10,153369.3663,0
1203,224962.3678,1340.03,1,4,131.12,48.45,5.3,10.64,4.08,90.19,1.52,0.71,10,4.94,No,Green,No,1,12,293425.9077,0
2659,193712.9455,1103.23,2.392219123,2,158.94,32.79,5.69,46.14,14.39,94.99,1.71,4.88,10,6.89,No,Yellow,No,1,22,188981.5763,0
1432,146466.797,965.39,1,2,895.86,35.35,5.84,57.21,0.91,97.6,2.25,4.27,9.11,8.11,No,Green,No,1,16,66921.81516,0
3611,244151.4962,976.06,2.239183074,2,692.25,10.8,6.02,8.45,13.46,99.9,1.51,3.32,7.42,3.16,No,White,Yes,1,14,152674.0331,0
5729,112953.986,1122.06,1.196783186,2,145.52,56,4.05,65.31,34.52,97.85,1.77,3.38,6.72,8.68,Yes,Blue,Yes,1,20,8905.622496,0
5941,202333.7397,740.44,1,3,703.92,8.61,7.58,63.47,9.82,82.58,0.36,5.88,9.09,7.44,No,Green,No,2,38,220447.697,0
4703,96879.55619,550,3.184188664,2,576.47,16.83,3.98,117.39,16.42,97.44,0.94,1.12,1.64,1.72,No,Red,Yes,1,12,11494.03147,1
3693,250327.6615,931.61,1.915791126,3,571.55,62.45,8.26,18.16,41.47,93.75,1.41,4.85,5.56,4.98,No,Yellow,No,2,18,331313.0259,0
1511,123995.3891,1197.81,2.329902188,1,628.9,2.21,8.69,24.35,15.88,98.21,1.81,3.8,5.78,3.15,Yes,Yellow,Yes,1,16,37002.76829,0
1106,234034.0348,1251.87,2.773043133,2,1153.38,27.86,7.96,139.4,7.11,93.9,1.29,5.8,5.38,4.77,No,Red,No,1,9,265740.0434,0
1679,180759.8499,550,1,4,317.27,3.71,9.72,7.01,5.06,95.18,0.99,4.72,9.75,6.34,No,Green,Yes,1,16,152379.8568,0
6640,157945.5228,642.05,1,2,346.7,34.79,7.06,16.66,23.39,90.78,2.2,5.61,5.07,3.31,Yes,Green,No,2,27,85939.02008,0
5579,247780.4737,776.64,2.686526022,3,574.18,23.16,6.22,47.78,17.25,89.03,1.87,7.49,8.51,6.3,No,Yellow,Yes,1,14,329569.1663,1
1170,270249.3015,820.59,1,4,216.74,53.91,7.34,83.11,19.81,82.46,1.22,4.87,10,9.73,No,Red,No,1,19,295920.895,0
4247,158142.7112,550,2.279051647,2,33.57,36.28,4.75,85.2,15.28,89.68,1.07,3.34,5.02,3.34,Yes,Blue,Yes,2,33,75275.05151,0
3856,212369.7208,1228.22,1.170578934,2,460.19,46.21,6.75,35.3,8.46,87.78,1.2,6.11,5.28,6.04,No,White,No,1,19,135717.5314,1
3714,206891.4973,764.69,2.410240685,2,437.33,35.88,9.31,19.86,15.04,96.24,1.98,5.87,2.72,5.87,No,White,No,1,28,175352.0822,1
1821,246250.2837,823.34,1.129488991,4,746.56,27.36,6.05,79.91,24.34,91.54,0.81,3.02,4.93,5.88,Yes,Green,No,1,19,291841.2798,0
6573,223063.3335,550,1.003707114,3,574.79,0.28,5.89,38.07,24.19,89.1,1.71,1.65,3.97,2.97,No,Blue,No,1,17,188246.5351,1
3823,133859.3801,559.1,1.275637106,1,529.5,30.82,5.2,57.1,6.33,87.14,1.87,0.57,0.51,4.12,No,Green,Yes,1,18,74086.26266,0
3736,152463.6497,550,1.982628969,4,161.86,12.7,4.69,93.85,25.32,89.18,1.5,3.69,2.72,4.19,No,Yellow,No,1,13,159165.4889,1
457,135635.1167,896.7,1.925285852,3,751.63,64.82,6.13,56.09,12.83,95.33,1.37,1.63,1.82,4.27,No,Green,No,2,39,64620.1328,0
5915,181396.4881,710.61,1.286837554,4,682.14,25.3,7.79,5.36,16.28,94.27,1.9,5.49,0.67,5.93,No,Red,No,2,22,142803.6013,1
3866,196172.7438,798.62,1.424847946,3,427.58,21.84,7.16,15.09,15.81,99.9,1.36,4.97,7.57,4.94,No,Blue,No,2,26,116878.8952,0
948,264529.5677,1384.13,2.667191793,4,423.58,50.77,8.34,47.63,31.13,93.26,1.32,5.53,5.33,4.22,No,Red,No,1,23,359752.795,0
2380,174698.0105,550,2.749640451,2,658.16,49.06,4.26,9.54,14.25,91.23,1.17,5.85,9.77,5.06,Yes,Blue,Yes,1,9,183001.3334,0
2374,220321.5049,760.77,3.255048964,3,179.59,8.09,4.99,32.81,4.34,86.84,1.82,5.17,3.61,6.7,Yes,Yellow,No,1,29,256783.6554,0
662,185506.6524,1074.52,1.434396635,3,76.99,76.47,6.5,1.46,43.07,93.5,1.14,2.04,0.59,3.78,Yes,Yellow,No,1,16,215872.9861,0
2354,145855.3631,550,2.684675844,3,626.23,9.3,4.33,49.72,26.54,94.21,1.57,1.14,7.54,7.15,No,Red,Yes,1,6,39002.46932,0
4481,217815.5226,1068.13,3.381325573,2,588.7,33.42,7.71,5.59,27.87,90.14,1.11,8.09,5.76,7.34,No,Blue,No,1,14,196652.0796,0
4325,132388.1021,779.1,1.210573587,2,627.22,31.39,2.59,107.99,41.19,99.9,1.28,3.07,2.98,4.21,Yes,White,No,1,24,83682.36213,0
192,223576.1619,1040.39,1.565887976,3,363.11,10.43,8.06,12.24,1.5,86.69,0.6,4.94,4.23,5.61,Yes,Yellow,No,1,12,249929.0909,0
6276,139547.3221,583.83,2.36478018,2,362.21,43.23,4.92,118.03,20.59,96.37,1.18,2.13,8.74,5.02,Yes,White,Yes,2,20,105959.055,0
5164,217365.301,665.95,2.250132936,4,1631.36,37.02,6.91,84.36,17.48,97.88,1.38,4.33,10,8.69,Yes,Blue,No,1,31,267431.2009,0
799,180323.8538,739.21,2.317125127,3,944.13,53.19,6.08,86.72,21.14,99.9,2.2,5.6,5.99,6.12,No,Red,No,1,29,134223.7811,1
6856,233917.4045,1203.14,2.211822523,2,413.73,19.55,7.5,2.83,11.39,87.89,0.93,5.93,3.93,6.49,No,Yellow,No,2,23,290067.0004,1
5414,136601.3608,647.33,1.899080978,1,540.53,41.62,6.93,109.19,11.28,99.9,1.27,3.73,6.93,7.81,Yes,Blue,Yes,1,23,35560.89313,0
5878,139012.3328,676.08,2.961567051,1,712.62,16.66,4.07,82.09,14.82,99.9,1.58,3.51,7.34,7.01,No,Green,No,1,21,76286.35004,0
4083,155541.194,550,2.343682057,4,75.84,18.01,7.72,86.92,10.32,96.12,2.4,3.31,9,5.29,Yes,Red,No,1,22,68689.18281,0
1946,126108.4073,662.79,2.085815753,2,403.94,65.46,7.45,36.21,26.34,99.09,0.48,6.12,8.18,5.29,No,White,Yes,1,7,67177.53037,0
4215,186897.8253,1065.62,1,4,420.97,23.96,5.1,43.04,7.86,98.35,2.55,5.09,1.35,5.91,No,White,No,1,14,181351.7241,0
3172,204468.4431,550,1,5,925.64,49.56,10,14.98,1.73,97,1.24,8.11,6.86,6.93,No,Green,No,1,3,240326.591,1
2093,134130.7502,550,1.340437138,3,91.06,63.37,7.98,3.47,22.49,96.91,1.4,7.26,8.43,8.24,No,White,No,1,8,102212.6934,0
4516,180489.4816,732.98,1.516484049,3,646.2,24.02,2.62,67.49,32.34,91.8,1.16,0.52,6.99,5.6,No,Green,Yes,1,20,255766.0327,0
2375,176180.2675,550,2.927694465,2,239.61,35.65,5.19,4.34,21.98,98.85,1.17,6.03,6.88,6.35,No,Green,No,1,17,149673.2093,0
2600,182376.0913,777.03,1,2,434.55,19.61,6.98,48.98,29.88,95.83,2.21,5.04,9.15,4.17,No,Green,No,1,15,105251.4034,0
3068,272607.5873,1226.32,1.155728763,5,837.38,64.08,8.47,15.01,17.53,87.97,1.47,4.36,6.67,6.83,Yes,White,No,2,38,890777.4574,0
4522,236852.6988,1611.13,1.5512826,3,289.96,33.11,4.36,40.11,14.03,86.54,0.72,4.23,5.19,5.59,Yes,Yellow,Yes,1,18,135249.1294,0
4069,240991.5035,845.78,1.711690538,2,579.32,17.02,7.55,68.41,33.88,91.95,0.68,4.71,5.38,5.15,No,White,No,1,9,145105.6944,0
2112,103851.1588,550,1,2,365.11,52.25,4.44,101.6,31.63,90.11,0.86,3.73,3.99,7.35,No,Red,No,1,7,27633.98649,0
1487,110427.8589,838.47,1,2,219.28,55.18,5,58.02,17.35,90.83,1.65,2.1,8.66,7.61,Yes,Red,Yes,1,3,29913.51861,0
3704,168729.8001,1027.55,1.660534634,1,498.04,20.68,2.7,87.26,29.83,89.89,1.44,0.85,9.72,6.34,No,Yellow,No,1,13,84596.30737,0
4540,216437.7761,1010.25,3.331127148,3,587.34,0.27,8.51,23.44,15.24,86.92,1.87,3.83,8.2,6.56,No,White,Yes,1,17,243405.329,0
4813,225913.5844,825.1,4.220691599,2,1158.99,64.25,6.68,36.68,24.23,96.93,0.9,6.82,2.49,4.92,Yes,Blue,No,2,38,421392.4962,0
5700,112294.6508,550,1.591872956,3,470.25,48.26,5.31,82.59,14.52,91.3,1.3,3.31,7.03,3,Yes,Yellow,No,1,15,33087.15146,0
3017,182212.9644,550,1.614249279,3,21.78,53.89,5.09,36.83,26.37,86.5,1.11,4.34,1.85,0.59,Yes,Green,No,1,11,92027.62242,0
1640,177882.2157,550,1.364844596,5,236.62,20.36,8.9,62.2,13.45,92.61,2.19,5.61,3.98,3.62,No,Red,Yes,2,27,159752.1044,0
3797,216799.6083,907.53,1.706457192,3,748.6,3.35,6.16,25.9,14.94,97.19,1.31,2.72,8.73,7.1,No,White,No,1,32,189771.7778,0
4114,273450.5838,1464.65,2.000382093,4,243.16,31.63,8.02,43.22,8.04,90.85,1.84,4.39,7.62,8.15,No,Yellow,No,1,12,479917.4985,0
3532,180330.4983,712.06,2.10723266,3,216.75,49.75,4.38,20.37,15.73,96.83,1.77,2.18,5.32,5.11,No,White,No,2,36,94392.3468,0
2909,135470.4414,550,1.484717198,3,172.4,18.49,8.48,38.54,9.04,96.97,1.14,2.64,9.06,4.57,No,Blue,No,1,20,27963.28451,0
3909,178033.013,1500.21,1.384003857,4,743.08,78.98,1.94,23.18,6.1,83.82,0.79,2.14,7.25,4.61,No,White,Yes,1,19,214373.7405,0
5096,191719.6633,550,1.445836044,3,655.46,52.51,3.55,18.21,42.24,96.62,1.87,3.69,5.77,5.34,No,Yellow,No,1,9,209999.7907,0
3850,268163.8259,718.38,1.60688204,3,675.71,3.78,8.99,58.3,9.15,97.98,2.48,3.81,4.03,0.59,No,White,No,1,18,183357.6697,0
4143,163298.013,611.78,3.14205824,2,779.85,9.41,5.23,39.83,13.24,95.3,1.13,3.39,6.31,5.78,No,Green,Yes,1,7,169478.8411,0
58,262908.9842,550,2.453349618,4,614.11,27.62,8.7,88.31,25.87,91.95,1.45,7.92,6.05,5.74,Yes,Green,Yes,2,38,314738.3821,0
